person_id,predict_horizon,FDE_mean,FDE_min,ADE_mean,ADE_min,num_predicted_trajs
12063,0.4,0.08,0.06,0.08,0.06,0.06,20
12063,0.8,0.125,0.053,0.103,0.06,0.056,20
12063,1.2000000000000002,0.185,0.05,0.13,0.072,0.054,20
12063,1.6,0.239,0.08,0.157,0.08,0.061,20
12063,2.0,0.302,0.129,0.186,0.1,0.074,20
12063,2.4000000000000004,0.355,0.141,0.214,0.112,0.086,20
12063,2.8000000000000003,0.404,0.17,0.242,0.126,0.098,20
12063,3.2,0.449,0.19,0.268,0.142,0.109,20
12063,3.6,0.501,0.192,0.294,0.16,0.118,20
12063,4.0,0.556,0.221,0.32,0.174,0.129,20
12063,4.4,0.607,0.123,0.346,0.192,0.128,20
12063,4.800000000000001,0.733,0.293,0.378,0.211,0.142,20
12063,5.2,0.898,0.458,0.418,0.236,0.166,20
12063,5.6000000000000005,1.063,0.422,0.464,0.268,0.184,20
12063,6.0,1.323,0.274,0.521,0.31,0.19,20
12063,6.4,1.567,0.389,0.587,0.355,0.203,20
12063,6.800000000000001,1.752,0.611,0.655,0.393,0.227,20
12063,7.2,1.897,0.921,0.714,0.432,0.268,19
12063,7.6000000000000005,2.084,1.206,0.786,0.477,0.317,19
12063,8.0,2.109,1.286,0.822,0.529,0.366,18
12063,8.4,2.145,1.41,0.871,0.587,0.415,17
12063,8.8,2.277,1.518,0.935,0.651,0.465,17
12063,9.200000000000001,2.418,1.698,1.0,0.72,0.519,17
12063,9.600000000000001,2.511,1.848,1.055,0.79,0.584,16
12063,10.0,2.584,1.971,1.12,0.861,0.641,15
12063,10.4,2.706,2.115,1.215,0.934,0.7,12
12063,10.8,2.721,2.188,1.279,0.981,0.757,8
12063,11.200000000000001,2.685,2.118,1.333,1.022,0.838,5
12063,11.600000000000001,2.427,2.055,1.271,1.058,0.888,3
12063,12.0,2.173,2.07,1.259,1.091,0.946,2
